Sample Index,Value
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,6
90,26
91,68
92,401
93,45
94,1885
95,3174
96,3462
97,1546
98,3363
99,2368
100,2389
101,1693
102,3570
103,3797
104,1041
105,423
106,633
107,1789
108,1244
109,1432
110,3606
111,902
112,18
113,514
114,1379
115,2482
116,3921
117,2978
118,314
119,84
120,737
121,783
122,1161
123,1030
124,1184
125,1452
126,1396
127,1295
128,1141
129,96
130,773
131,2701
132,3374
133,4025
134,3641
135,3220
136,2656
137,2363
138,2797
139,3490
140,1575
141,1383
142,3632
143,1414
144,736
145,1279
146,1928
147,2032
148,1357
149,1139
150,1533
151,2579
152,3823
153,2522
154,3532
155,1289
156,555
157,1365
158,2521
159,3206
160,4034
161,1413
162,576
163,603
164,307
165,1058
166,3095
167,3683
168,2342
169,2064
170,347
171,2629
172,3249
173,1841
174,2157
175,2257
176,2429
177,1591
178,226
179,3049
180,2988
181,2146
182,1588
183,139
184,3772
185,2842
186,2708
187,482
188,34
189,1510
190,2524
191,2987
192,3954
193,2627
194,3382
195,3498
196,2972
197,1882
198,1316
199,595
200,1063
201,119
202,1565
203,3244
204,3985
205,681
206,2654
207,3998
208,3199
209,3751
210,839
211,651
212,384
213,553
214,1156
215,1121
216,1811
217,2347
218,2467
219,2203
220,190
221,255
222,1414
223,2042
224,3148
225,3915
226,47
227,135
228,706
229,2035
230,2753
231,3743
232,3982
233,559
234,1864
235,2900
236,3310
237,189
238,1611
239,2621
240,2904
241,2694
242,2746
243,3328
244,4090
245,3678
246,4061
247,1218
248,356
249,1124
250,2592
251,4014
252,2959
253,925
254,162
255,13
256,458
257,4009
258,3897
259,3786
260,3671
261,2325
262,37
263,557
264,1309
265,1871
266,1775
267,1967
268,1682
269,1863
270,1364
271,598
272,6
273,290
274,1469
275,1977
276,1895
277,1235
278,1438
279,2293
280,2897
281,3159
282,2012
283,3133
284,1303
285,2551
286,928
287,1197
288,1565
289,1083
290,791
291,1356
292,1791
293,2116
294,1430
295,783
296,1001
297,1232
298,2044
299,2692
300,2394
301,3907
302,2526
303,1257
304,172
305,1298
306,3589
307,2308
308,1824
309,815
310,1087
311,1915
312,2352
313,3174
314,3269
315,2635
316,1752
317,58
318,972
319,1900
320,3728
321,3483
322,2184
323,491
324,645
325,3793
326,405
327,2109
328,601
329,99
330,710
331,2197
332,2669
333,3174
334,2960
335,2621
336,2088
337,1409
338,436
339,662
340,1364
341,1982
342,2868
343,3177
344,3842
345,2990
346,1894
347,2419
348,2125
349,2683
350,434
351,2029
352,1598
353,1462
354,2237
355,3947
356,3845
357,1867
358,1640
359,2347
360,2951
361,2982
362,3233
363,3255
364,3649
365,1500
366,3766
367,2775
368,526
369,2011
370,1856
371,411
372,934
373,210
374,349
375,46
376,1828
377,1053
378,41
379,1995
380,3122
381,3283
382,2689
383,2824
384,3536
385,3802
386,4076
387,1677
388,2180
389,1011
390,509
391,505
392,1420
393,1959
394,802
395,1010
396,862
397,2160
398,3008
399,3000
400,2990
401,2857
402,2825
403,2918
404,3399
405,3406
406,3438
407,3729
408,2648
409,2693
410,3998
411,5
412,552
413,2265
414,3447
415,3266
416,2913
417,4016
418,2079
419,567
420,1486
421,2084
422,2473
423,2907
424,3303
425,3459
426,3921
427,3658
428,3904
429,543
430,990
431,649
432,597
433,1429
434,3434
435,3485
436,1616
437,525
438,1282
439,1475
440,1823
441,2035
442,1710
443,1127
444,1271
445,1606
446,3560
447,140
448,1793
449,1048
450,2617
451,3742
452,3835
453,3405
454,1661
455,1223
456,1797
457,2076
458,3419
459,3508
